row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
27,CA-2016-121755,2016-01-16,2016-01-20,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,NULL,11.77
28,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.05
29,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,"Office Supplies",Binders,"Avery Recycled Flexi-View Covers for Binding Systems",9.62,2,0.7,-7.05
30,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",124.2,3,0.2,15.52
31,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,"Office Supplies",Envelopes,"Poly String Tie Envelopes",3.26,2,0.2,1.1
32,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,"Office Supplies",Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,0.2,9.71
34,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,"Office Supplies",Art,"Lumber Crayons",15.76,2,0.2,3.55
35,CA-2017-107727,2017-10-19,2017-10-23,"Second Class",MA-17560,"Matt Abelman","Home Office","United States",Houston,Texas,77095,Central,OFF-PA-10000249,"Office Supplies",Paper,"Easy-staple paper",29.47,3,0.2,9.95
36,CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.54,7,0.2,123.47
37,CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96
38,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,OFF-EN-10002986,"Office Supplies",Envelopes,"#10-4 1/8" x 9 1/2"" Premium Diagonal Seam Envelopes"",113.33,9,0.2,35.42
39,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,0.32,-46.98
40,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.15
41,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,"Plantronics HL10 Handset Lifter",371.17,4,0.2,41.76
42,CA-2017-120999,2017-09-10,2017-09-15,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.17,4,0.2,16.56
43,CA-2016-101343,2016-07-17,2016-07-22,"Standard Class",RA-19885,"Ruben Ausman",Corporate,"United States","Los Angeles",California,90049,West,OFF-ST-10003479,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,NULL,3.89
44,CA-2017-139619,2017-09-19,2017-09-23,"Standard Class",ES-14080,"Erin Smith",Corporate,"United States",Melbourne,Florida,32935,South,OFF-ST-10003282,"Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56
45,CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,"Odella Nelson",Corporate,"United States",Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,NULL,19.77
46,CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,"Odella Nelson",Corporate,"United States",Eagan,Minnesota,55122,Central,OFF-BI-10003291,"Office Supplies",Binders,"Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,NULL,8.21
47,CA-2014-146703,2014-10-20,2014-10-25,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Westland,Michigan,48185,Central,OFF-ST-10001713,"Office Supplies",Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,NULL,8.48
48,CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,3,NULL,4.95
49,CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,NULL,6.1
50,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,OFF-BI-10004410,"Office Supplies",Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,NULL,17.96
51,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,OFF-LA-10002762,"Office Supplies",Labels,"Avery 485",75.18,6,NULL,35.33
52,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,"Longer-Life Soft White Bulbs",6.16,2,NULL,2.96
53,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,NULL,17.1
54,CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,"Janet Molinari",Corporate,"United States","New York City","New York",10024,East,OFF-FA-10000304,"Office Supplies",Fasteners,"Advantus Push Pins",15.26,7,NULL,6.26
55,CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,"Janet Molinari",Corporate,"United States","New York City","New York",10024,East,TEC-PH-10002447,Technology,Phones,"AT&T CL83451 4-Handset Telephone",1029.95,5,NULL,298.69
56,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-ST-10000604,"Office Supplies",Storage,"Home/Office Personal File Carts",208.56,6,NULL,52.14
57,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-PA-10001569,"Office Supplies",Paper,"Xerox 232",32.4,5,NULL,15.55
58,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,FUR-CH-10003968,Furniture,Chairs,"Novimex Turbo Task Chair",319.41,5,0.1,7.1
59,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-PA-10000587,"Office Supplies",Paper,"Array Parchment Paper, Assorted Colors",14.56,2,NULL,6.99
60,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30,2,NULL,3.3
61,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-BI-10001460,"Office Supplies",Binders,"Plastic Binding Combs",48.48,4,0.2,16.36
62,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,OFF-AR-10001868,"Office Supplies",Art,"Prang Dustless Chalk Sticks",1.68,1,NULL,0.84
63,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,NULL,6.15
64,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,OFF-BI-10001078,"Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"""",25.82,6,0.2,9.36
65,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,OFF-PA-10003892,"Office Supplies",Paper,"Xerox 1943",146.73,3,NULL,68.96
66,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,FUR-FU-10000397,Furniture,Furnishings,"Luxo Economy Swing Arm Lamp",79.76,4,NULL,22.33
67,US-2015-164175,2015-04-30,2015-05-05,"Standard Class",PS-18970,"Paul Stevenson","Home Office","United States",Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.22
68,CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,"Brendan Sweed",Corporate,"United States",Gilbert,Arizona,85234,West,OFF-AR-10002671,"Office Supplies",Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3
69,CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,"Brendan Sweed",Corporate,"United States",Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,"netTALK DUO VoIP Telephone Service",167.97,4,0.2,62.99
70,CA-2016-119823,2016-06-04,2016-06-06,"First Class",KD-16270,"Karen Daniels",Consumer,"United States",Springfield,Virginia,22153,South,OFF-PA-10000482,"Office Supplies",Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,NULL,35.66
71,CA-2016-106075,2016-09-18,2016-09-23,"Standard Class",HM-14980,"Henry MacAllister",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004654,"Office Supplies",Binders,"Avery Binding System Hidden Tab Executive Style Index Sets",4.62,1,0.2,1.73
72,CA-2017-114440,2017-09-14,2017-09-17,"Second Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Jackson,Michigan,49201,Central,OFF-PA-10004675,"Office Supplies",Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"""",19.05,3,NULL,8.76
73,US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,"High-Back Leather Manager's Chair",831.94,8,0.2,-114.39
74,US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"""",97.04,2,0.2,1.21
75,US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,OFF-ST-10004123,"Office Supplies",Storage,"Safco Industrial Wire Shelving System",72.78,1,0.2,-18.2
76,US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,OFF-BI-10004182,"Office Supplies",Binders,"Economy Binders",1.25,3,0.8,-1.93
78,US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,OFF-ST-10000615,"Office Supplies",Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.72
79,US-2014-147606,2014-11-26,2014-12-01,"Second Class",JE-15745,"Joel Eaton",Consumer,"United States",Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.48
80,CA-2016-127208,2016-06-12,2016-06-15,"First Class",SC-20770,"Stewart Carmichael",Corporate,"United States",Decatur,Alabama,35601,South,OFF-AP-10002118,"Office Supplies",Appliances,"1.7 Cubic Foot Compact "Cube"" Office Refrigerators"",208.16,1,NULL,56.2
81,CA-2016-127208,2016-06-12,2016-06-15,"First Class",SC-20770,"Stewart Carmichael",Corporate,"United States",Decatur,Alabama,35601,South,OFF-BI-10002309,"Office Supplies",Binders,"Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,NULL,8.04
82,CA-2014-139451,2014-10-12,2014-10-16,"Standard Class",DN-13690,"Duane Noonan",Consumer,"United States","San Francisco",California,94122,West,OFF-AR-10002053,"Office Supplies",Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,NULL,4.17
83,CA-2014-139451,2014-10-12,2014-10-16,"Standard Class",DN-13690,"Duane Noonan",Consumer,"United States","San Francisco",California,94122,West,OFF-ST-10002370,"Office Supplies",Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,NULL,6.2
84,CA-2015-149734,2015-09-03,2015-09-08,"Standard Class",JC-16105,"Julie Creighton",Corporate,"United States",Durham,"North Carolina",27707,South,OFF-EN-10000927,"Office Supplies",Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.98,7,0.2,62.81
85,US-2017-119662,2017-11-13,2017-11-16,"First Class",CS-12400,"Christopher Schild","Home Office","United States",Chicago,Illinois,60623,Central,OFF-ST-10003656,"Office Supplies",Storage,"Safco Industrial Wire Shelving",230.38,3,0.2,-48.95
86,CA-2017-140088,2017-05-28,2017-05-30,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Columbia,"South Carolina",29203,South,FUR-CH-10000863,Furniture,Chairs,"Novimex Swivel Fabric Task Chair",301.96,2,NULL,33.22
87,CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,NULL,6.8
88,CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,55901,Central,OFF-LA-10000134,"Office Supplies",Labels,"Avery 511",6.16,2,NULL,2.96
89,CA-2016-159695,2016-04-05,2016-04-10,"Second Class",GM-14455,"Gary Mitchum","Home Office","United States",Houston,Texas,77095,Central,OFF-ST-10003442,"Office Supplies",Storage,"Eldon Portable Mobile Manager",158.37,7,0.2,13.86
90,CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,OFF-AR-10004930,"Office Supplies",Art,"Turquoise Lead Holder with Pocket Clip",20.1,3,NULL,6.63
91,CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",73.58,2,0.2,8.28
92,CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,OFF-PA-10000304,"Office Supplies",Paper,"Xerox 1995",6.48,1,NULL,3.11
93,CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,"Office Supplies",Paper,"Xerox 1999",12.96,2,NULL,6.22
94,CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2" Wall Clock"",53.34,3,NULL,16.54
95,CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,"Office Supplies",Binders,"Ibico Standard Transparent Covers",32.96,2,NULL,16.15
96,US-2017-109484,2017-11-06,2017-11-12,"Standard Class",RB-19705,"Roger Barcio","Home Office","United States",Portland,Oregon,97206,West,OFF-BI-10004738,"Office Supplies",Binders,"Flexible Leather- Look Classic Collection Ring Binder",5.68,1,0.7,-3.79
97,CA-2017-161018,2017-11-09,2017-11-11,"Second Class",PN-18775,"Parhena Norris","Home Office","United States","New York City","New York",10009,East,FUR-FU-10000629,Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock",96.53,7,NULL,40.54
98,CA-2017-157833,2017-06-17,2017-06-20,"First Class",KD-16345,"Katherine Ducich",Consumer,"United States","San Francisco",California,94122,West,OFF-BI-10001721,"Office Supplies",Binders,"Trimflex Flexible Post Binders",51.31,3,0.2,17.96
99,CA-2016-149223,2016-09-06,2016-09-11,"Standard Class",ER-13855,"Elpida Rittenbach",Corporate,"United States","Saint Paul",Minnesota,55106,Central,OFF-AP-10000358,"Office Supplies",Appliances,"Fellowes Basic Home/Office Series Surge Protectors",77.88,6,NULL,22.59
100,CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,OFF-PA-10003256,"Office Supplies",Paper,"Avery Personal Creations Heavyweight Cards",64.62,7,0.2,22.62
101,CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.98,3,0.2,-10.8
102,CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,OFF-BI-10002609,"Office Supplies",Binders,"Avery Hidden Tab Dividers for Binding Systems",1.79,3,0.8,-3.04
103,CA-2016-129903,2016-12-01,2016-12-04,"Second Class",GZ-14470,"Gary Zandusky",Consumer,"United States",Rochester,Minnesota,55901,Central,OFF-PA-10004040,"Office Supplies",Paper,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,4,NULL,11.72
104,US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,"Lena Cacioppo",Consumer,"United States",Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,"Logitech K350 2.4Ghz Wireless Keyboard",238.9,6,0.2,-26.88
105,US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,"Lena Cacioppo",Consumer,"United States",Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.84
107,CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,TEC-AC-10003499,Technology,Accessories,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.11,8,0.2,17.6
108,CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,TEC-PH-10002844,Technology,Phones,"Speck Products Candyshell Flip Case",27.99,1,0.2,2.1
